	Entrez Gene ID	Current Symbol	Refseq Transcript	Description
85	3655	ITGA6	NM_001079818 NM_000210	"integrin, alpha 6"
86	3832	KIF11	NM_004523	kinesin family member 11
87	3833	KIFC1	NM_002263	kinesin family member C1
88	3835	KIF22	NM_007317	kinesin family member 22
89	3875	KRT18	NM_000224 NM_199187	keratin 18
90	3984	LIMK1	NM_002314	LIM domain kinase 1
91	3993	LLGL2	NM_004524 NM_001015002 NM_001031803	lethal giant larvae homolog 2 (Drosophila)
92	3996	LLGL1	NM_004140	lethal giant larvae homolog 1 (Drosophila)
93	4085	MAD2L1	NM_002358	MAD2 mitotic arrest deficient-like 1 (yeast)
94	4171	MCM2	NM_004526	minichromosome maintenance complex component 2
95	4193	MDM2	NM_006881 NM_002392 NM_006879 NM_006878 NM_006882	"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)"
96	4288	MKI67	NM_002417	antigen identified by monoclonal antibody Ki-67
97	4521	NUDT1	NM_198952 NM_002452 NM_198954 NM_198953 NM_198948 NM_198950 NM_198949	nudix (nucleoside diphosphate linked moiety X)-type motif 1
98	4522	MTHFD1	NM_005956	"methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase"
99	4627	MYH9	NM_002473	"myosin, heavy chain 9, non-muscle"
100	4628	MYH10	NM_005964	"myosin, heavy chain 10, non-muscle"
101	4637	MYL6	NM_021019 NM_079423	"myosin, light chain 6, alkali, smooth muscle and non-muscle"
102	4638	MYLK	NM_053026 NM_053028 NM_053032 NM_053031 NM_053025 NM_053027	"myosin, light chain kinase"
103	4659	PPP1R12A	NM_002480	"protein phosphatase 1, regulatory (inhibitor) subunit 12A"
104	4683	NBN	NM_001024688 NM_002485	nibrin
105	4751	NEK2	NM_002497	NIMA (never in mitosis gene a)-related kinase 2
106	5036	PA2G4	NM_006191	"proliferation-associated 2G4, 38kDa"
107	5111	PCNA	NM_002592 NM_182649	proliferating cell nuclear antigen
108	5216	PFN1	NM_005022	profilin 1
109	5217	PFN2	NM_053024 NM_002628	profilin 2
110	5297	PIK4CA	NM_002650 NM_058004	"phosphatidylinositol 4-kinase, catalytic, alpha polypeptide"
111	5298	PIK4CB	NM_002651	"phosphatidylinositol 4-kinase, catalytic, beta polypeptide"
112	5347	PLK1	NM_005030	polo-like kinase 1 (Drosophila)
113	5501	PPP1CC	NM_002710	"protein phosphatase 1, catalytic subunit, gamma isoform"
114	5519	PPP2R1B	NM_002716 NM_181699	"protein phosphatase 2 (formerly 2A), regulatory subunit A, beta isoform"
115	5521	PPP2R2B	NM_181677 NM_181674 NM_181676 NM_004576 NM_181675 NM_181678	"protein phosphatase 2 (formerly 2A), regulatory subunit B, beta isoform"
116	5528	PPP2R5D	NM_180976 NM_180977 NM_006245	"protein phosphatase 2, regulatory subunit B', delta isoform"
117	5557	PRIM1	NM_000946	"primase, DNA, polypeptide 1 (49kDa)"
118	5578	PRKCA	NM_002737	"protein kinase C, alpha"
119	5691	PSMB3	NM_002795	"proteasome (prosome, macropain) subunit, beta type, 3"
120	5694	PSMB6	NM_002798	"proteasome (prosome, macropain) subunit, beta type, 6"
121	5810	RAD1	NM_002853 NM_133377	RAD1 homolog (S. pombe)
122	5870	RAB6A	NM_198896 NM_002869	"RAB6A, member RAS oncogene family"
123	5883	RAD9A	NM_004584	RAD9 homolog A (S. pombe)
124	5884	RAD17	NM_133340 NM_133343 NM_133339 NM_133342 NM_133338 NM_133344 NM_002873 NM_133341	RAD17 homolog (S. pombe)
125	5885	RAD21	NM_006265	RAD21 homolog (S. pombe)
126	5888	RAD51	NM_002875 NM_133487	"RAD51 homolog (RecA homolog, E. coli) (S. cerevisiae)"
127	5890	RAD51L1	NM_002877 NM_133510 NM_133509	RAD51-like 1 (S. cerevisiae)
128	5892	RAD51L3	NM_133629 NM_002878	RAD51-like 3 (S. cerevisiae)
129	5893	RAD52	NM_134424	RAD52 homolog (S. cerevisiae)
130	5925	RB1	NM_000321	retinoblastoma 1 (including osteosarcoma)
131	5928	RBBP4	NM_005610	retinoblastoma binding protein 4
132	5982	RFC2	NM_002914 NM_181471	"replication factor C (activator 1) 2, 40kDa"
133	6016	RIT1	NM_006912	Ras-like without CAAX 1
134	6093	ROCK1	NM_005406	"Rho-associated, coiled-coil containing protein kinase 1"
135	6150	MRPL23	NM_021134	mitochondrial ribosomal protein L23
136	6241	RRM2	NM_001034	ribonucleotide reductase M2 polypeptide
137	6422	SFRP1	NM_003012	secreted frizzled-related protein 1
138	6434	SFRS10	NM_004593	"splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)"
139	6500	SKP1A	NM_006930 NM_170679	S-phase kinase-associated protein 1A (p19A)
140	6502	SKP2	NM_005983 NM_032637	S-phase kinase-associated protein 2 (p45)
141	6627	SNRPA1	NM_003090	small nuclear ribonucleoprotein polypeptide A'
142	6632	SNRPD1	NM_006938	small nuclear ribonucleoprotein D1 polypeptide 16kDa
143	6634	SNRPD3	NM_004175	small nuclear ribonucleoprotein D3 polypeptide 18kDa
144	6637	SNRPG	NM_003096	small nuclear ribonucleoprotein polypeptide G
145	6742	SSBP1	NM_003143	single-stranded DNA binding protein 1
146	6789	STK4	NM_006282	serine/threonine kinase 4
147	6790	AURKA	NM_198434 NM_003600 NM_198435 NM_198436 NM_198433 NM_198437	aurora kinase A
148	7083	TK1	NM_003258	"thymidine kinase 1, soluble"
149	7086	TKT	NM_001064	transketolase (Wernicke-Korsakoff syndrome)
150	7153	TOP2A	NM_001067	topoisomerase (DNA) II alpha 170kDa
151	7157	TP53	NM_000546	tumor protein p53 (Li-Fraumeni syndrome)
152	7158	TP53BP1	NM_005657	"tumor protein p53 binding protein, 1"
153	7161	TP73	NM_005427	tumor protein p73
154	7272	TTK	NM_003318	TTK protein kinase
155	7277	TUBA4A	NM_006000	"tubulin, alpha 4a"
156	7298	TYMS	NM_001071	thymidylate synthetase
157	7371	UCK2	NM_012474	uridine-cytidine kinase 2
158	7388	UQCRH	NM_006004	ubiquinol-cytochrome c reductase hinge protein
159	7465	WEE1	NM_003390	WEE1 homolog (S. pombe)
160	8091	HMGA2	NM_003483 NM_003484	high mobility group AT-hook 2
161	8208	CHAF1B	NM_005441	"chromatin assembly factor 1, subunit B (p60)"
162	8243	SMC1A	NM_006306	structural maintenance of chromosomes 1A
163	8318	CDC45L	NM_003504	CDC45 cell division cycle 45-like (S. cerevisiae)
164	8379	MAD1L1	NM_003550 NM_001013836 NM_001013837	MAD1 mitotic arrest deficient-like 1 (yeast)
165	8438	RAD54L	NM_003579	RAD54-like (S. cerevisiae)
166	8454	CUL1	NM_003592	cullin 1
167	8556	CDC14A	NM_033312 NM_003672 NM_033313	CDC14 cell division cycle 14 homolog A (S. cerevisiae)
168	8558	CDK10	NM_052987 NM_052988 NM_001098533	cyclin-dependent kinase (CDC2-like) 10
169	8673	VAMP8	NM_003761	vesicle-associated membrane protein 8 (endobrevin)
170	8697	CDC23	NM_004661	cell division cycle 23 homolog (S. cerevisiae)
171	8727	CTNNAL1	NM_003798	"catenin (cadherin-associated protein), alpha-like 1"
172	8812	CCNK	NM_003858	cyclin K
173	8814	CDKL1	NM_004196	cyclin-dependent kinase-like 1 (CDC2-related kinase)
174	8881	CDC16	NM_003903 NM_001078645	cell division cycle 16 homolog (S. cerevisiae)
175	8900	CCNA1	NM_003914	cyclin A1
176	9126	SMC3	NM_005445	structural maintenance of chromosomes 3
177	9133	CCNB2	NM_004701	cyclin B2
178	9134	CCNE2	NM_057749	cyclin E2
179	9156	EXO1	NM_006027 NM_003686 NM_130398	exonuclease 1
180	9183	ZW10	NM_004724	"ZW10, kinetochore associated, homolog (Drosophila)"
181	9184	BUB3	NM_004725 NM_001007793	BUB3 budding uninhibited by benzimidazoles 3 homolog (yeast)
182	9212	AURKB	NM_004217	aurora kinase B
183	9232	PTTG1	NM_004219	pituitary tumor-transforming 1
184	9319	TRIP13	NM_004237	thyroid hormone receptor interactor 13
185	9371	KIF3B	NM_004798	kinesin family member 3B
186	9406	ZRANB2	NM_203350 NM_005455	"zinc finger, RAN-binding domain containing 2"
187	9446	GSTO1	NM_004832	glutathione S-transferase omega 1
188	9475	ROCK2	NM_004850	"Rho-associated, coiled-coil containing protein kinase 2"
189	9493	KIF23	NM_004856 NM_138555	kinesin family member 23
190	9521	EEF1E1	NM_004280	eukaryotic translation elongation factor 1 epsilon 1
191	9588	PRDX6	NM_004905	peroxiredoxin 6
192	9700	ESPL1	NM_012291	extra spindle pole bodies homolog 1 (S. cerevisiae)
193	9735	KNTC1	NM_014708	kinetochore associated 1
194	9768	KIAA0101	NM_014736 NM_001029989	KIAA0101
195	9787	DLG7	NM_014750	"discs, large homolog 7 (Drosophila)"
196	9793	CKAP5	NM_014756 NM_001008938	cytoskeleton associated protein 5
197	9833	MELK	NM_014791	maternal embryonic leucine zipper kinase
198	9978	RBX1	NM_014248	ring-box 1
199	9991	ROD1	NM_005156	ROD1 regulator of differentiation 1 (S. pombe)
200	10111	RAD50	NM_133482 NM_005732	RAD50 homolog (S. cerevisiae)
201	10112	KIF20A	NM_005733	kinesin family member 20A
202	10274	STAG1	NM_005862	stromal antigen 1
203	10297	APC2	NM_005883	adenomatosis polyposis coli 2
204	10382	TUBB4	NM_006087	"tubulin, beta 4"
205	10393	ANAPC10	NM_014885	anaphase promoting complex subunit 10
206	10403	NDC80	NM_006101	"NDC80 homolog, kinetochore complex component (S. cerevisiae)"
207	10426	TUBGCP3	NM_006322	"tubulin, gamma complex associated protein 3"
208	10459	MAD2L2	NM_006341	MAD2 mitotic arrest deficient-like 2 (yeast)
209	10527	IPO7	NM_006391	importin 7
210	10549	PRDX4	NM_006406	peroxiredoxin 4
211	10592	SMC2	NM_001042550 NM_006444 NM_001042551	structural maintenance of chromosomes 2
212	10606	PAICS	NM_006452 NM_001079524 NM_001079525	"phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase"
213	10615	SPAG5	NM_006461	sperm associated antigen 5
214	10635	RAD51AP1	NM_006479	RAD51 associated protein 1
215	10682	EBP	NM_006579	emopamil binding protein (sterol isomerase)
216	10744	PTTG2	NM_006607	pituitary tumor-transforming 2
217	10844	TUBGCP2	NM_006659	"tubulin, gamma complex associated protein 2"
218	10926	DBF4	NM_006716	DBF4 homolog (S. cerevisiae)
219	10982	MAPRE2	NM_014268	"microtubule-associated protein, RP/EB family, member 2"
220	11065	UBE2C	NM_181801 NM_181803 NM_181799 NM_181802 NM_007019 NM_181800	ubiquitin-conjugating enzyme E2C
221	11113	CIT	NM_007174	"citron (rho-interacting, serine/threonine kinase 21)"
222	11130	ZWINT	NM_001005413 NM_007057 NM_032997	ZW10 interactor
223	11163	NUDT4	NM_199040 NM_019094	nudix (nucleoside diphosphate linked moiety X)-type motif 4
224	11169	WDHD1	NM_007086 NM_001008396	WD repeat and HMG-box DNA binding protein 1
225	11186	RASSF1	NM_170714 NM_170712 NM_007182 NM_170713	Ras association (RalGDS/AF-6) domain family 1
226	11200	CHEK2	NM_001005735 NM_007194 NM_145862	CHK2 checkpoint homolog (S. pombe)
227	22919	MAPRE1	NM_012325	"microtubule-associated protein, RP/EB family, member 1"
228	22948	CCT5	NM_012073	"chaperonin containing TCP1, subunit 5 (epsilon)"
229	23012	STK38L	NM_015000	serine/threonine kinase 38 like
230	23085	ERC1	NM_015064 NM_178039 NM_178038 NM_178040 NM_178037	ELKS/RAB6-interacting/CAST family member 1
231	23224	SYNE2	NM_182910 NM_182914 NM_015180 NM_182913	"spectrin repeat containing, nuclear envelope 2"
232	23345	SYNE1	NM_182961 NM_133650 NM_015293 NM_033071	"spectrin repeat containing, nuclear envelope 1"
233	23462	HEY1	NM_001040708 NM_012258	hairy/enhancer-of-split related with YRPW motif 1
234	23594	ORC6L	NM_014321	"origin recognition complex, subunit 6 like (yeast)"
235	24137	KIF4A	NM_012310	kinesin family member 4A
236	25788	RAD54B	NM_012415	RAD54 homolog B (S. cerevisiae)
237	25886	WDR51A	NM_015426	WD repeat domain 51A
238	26255	PTTG3	NR_002734	pituitary tumor-transforming 3
239	26271	FBXO5	NM_012177	F-box protein 5
240	26586	CKAP2	NM_018204 NM_001098525	cytoskeleton associated protein 2
241	27175	TUBG2	NM_016437	"tubulin, gamma 2"
242	27338	UBE2S	NM_014501	ubiquitin-conjugating enzyme E2S
243	28957	MRPS28	NM_014018	mitochondrial ribosomal protein S28
244	29028	ATAD2	NM_014109	"ATPase family, AAA domain containing 2"
245	29089	UBE2T	NM_014176	ubiquitin-conjugating enzyme E2T (putative)
246	29127	RACGAP1	NM_013277	Rac GTPase activating protein 1
247	29882	ANAPC2	XM_001130502 NM_013366	anaphase promoting complex subunit 2
248	29893	PSMC3IP	NM_013290 NM_016556	PSMC3 interacting protein
249	29945	ANAPC4	NM_013367	anaphase promoting complex subunit 4
250	51053	GMNN	NM_015895	"geminin, DNA replication inhibitor"
251	51071	DERA	NM_015954	2-deoxyribose-5-phosphate aldolase homolog (C. elegans)
252	51154	MRTO4	NM_016183	mRNA turnover 4 homolog (S. cerevisiae)
253	51293	CD320	NM_016579	CD320 molecule
254	51318	MRPL35	NM_145644 NM_016622	mitochondrial ribosomal protein L35
255	51343	FZR1	NM_016263	fizzy/cell division cycle 20 related 1 (Drosophila)
256	51373	MRPS17	NM_015969	mitochondrial ribosomal protein S17
257	51433	ANAPC5	NM_016237	anaphase promoting complex subunit 5
258	51434	ANAPC7	NM_016238	anaphase promoting complex subunit 7
259	51435	SCARA3	NM_016240 NM_182826	"scavenger receptor class A, member 3"
260	51491	HSPC111	NM_016391	hypothetical protein HSPC111
261	51512	GTSE1	NM_016426	G-2 and S-phase expressed 1
262	51514	DTL	NM_016448	denticleless homolog (Drosophila)
263	51529	ANAPC11	NM_016476 NM_001002245 NM_001002249 NM_001002246 NM_001002247 NM_001002244 NM_001002248	APC11 anaphase promoting complex subunit 11 homolog (yeast)
264	51659	GINS2	NM_016095	GINS complex subunit 2 (Psf2 homolog)
265	53827	FXYD5	NM_144779 NM_014164	FXYD domain containing ion transport regulator 5
266	54165	DCUN1D1	NM_020640	"DCN1, defective in cullin neddylation 1, domain containing 1 (S. cerevisiae)"
267	54407	SLC38A2	NM_018976	"solute carrier family 38, member 2"
268	54443	ANLN	NM_018685	"anillin, actin binding protein"
269	54478	FAM64A	NM_019013	"family with sequence similarity 64, member A"
270	54962	TIPIN	NM_017858	TIMELESS interacting protein
271	55010	C12orf48	NM_017915	chromosome 12 open reading frame 48
272	55143	CDCA8	NM_018101	cell division cycle associated 8
273	55165	CEP55	NM_018131	centrosomal protein 55kDa
274	55233	MOBK1B	NM_018221	"MOB1, Mps One Binder kinase activator-like 1B (yeast)"
275	55355	DKFZp762E1312	NM_018410	hypothetical protein DKFZp762E1312
276	55743	CHFR	NM_018223	checkpoint with forkhead and ring finger domains
277	55839	CENPN	NM_018455	centromere protein N
278	55872	PBK	NM_018492	PDZ binding kinase
279	56647	BCCIP	NM_078468 NM_016567 NM_078469	BRCA2 and CDKN1A interacting protein
280	56776	FMN2	NM_020066	formin 2
281	56886	UGCGL1	NM_001025777 NM_020120	UDP-glucose ceramide glucosyltransferase-like 1
282	56992	KIF15	NM_020242	kinesin family member 15
283	57018	CCNL1	NM_020307	cyclin L1
284	57405	SPC25	NM_020675	"SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
285	57650	KIAA1524	NM_020890	KIAA1524
286	58498	MYL7	NM_021223	"myosin, light chain 7, regulatory"
287	64105	CENPK	NM_022145	centromere protein K
288	64151	NCAPG	NM_022346	"non-SMC condensin I complex, subunit G"
289	64423	C14orf173	NM_022489 NM_032714 NM_001031714	chromosome 14 open reading frame 173
290	64682	ANAPC1	NM_022662 XM_001129602	anaphase promoting complex subunit 1
291	64946	CENPH	NM_022909	centromere protein H
292	79019	CENPM	NM_024053 NM_001002876	centromere protein M
293	79080	CCDC86	NM_024098	coiled-coil domain containing 86
294	79733	E2F8	NM_024680	E2F transcription factor 8
295	79866	C13orf34	NM_024808	chromosome 13 open reading frame 34
296	81611	ANP32E	NM_030920	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member E"
297	81669	CCNL2	NM_030937 NM_001039577	cyclin L2
298	81892	C14orf156	NM_031210	chromosome 14 open reading frame 156
299	81930	KIF18A	NM_031217	kinesin family member 18A
300	83540	NUF2	NM_145697 NM_031423	"NUF2, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
301	84057	MND1	NM_032117	meiotic nuclear divisions 1 homolog (S. cerevisiae)
302	84084	RAB6C	NM_032144	"RAB6C, member RAS oncogene family"
303	84790	TUBA1C	NM_032704	"tubulin, alpha 1c"
304	84930	MASTL	NM_032844	microtubule associated serine/threonine kinase-like
305	85417	CCNB3	NM_033031 NM_033670	cyclin B3
306	94239	H2AFV	NM_012412 NM_201516 NM_201436 NM_138635 NM_201517	"H2A histone family, member V"
307	113130	CDCA5	NM_080668	cell division cycle associated 5
308	126961	HIST2H3C	NM_021059	"histone cluster 2, H3c"
309	147841	SPC24	NM_182513	"SPC24, NDC80 kinetochore complex component, homolog (S. cerevisiae)"
310	166979	CDC20B	NM_152623	cell division cycle 20 homolog B (S. cerevisiae)
311	259266	ASPM	NM_018136	"asp (abnormal spindle) homolog, microcephaly associated (Drosophila)"
312	342184	FMN1	XM_931354 XM_943337	formin 1
