Entrez ID	Gene Symbol	Gene Name	Refseq mRNA	Refseq Protein (linked to MSKCC Mapback)	Ensembl Gene ID	UCSC Genomic Coordinates	GO Categories	Sources
27113	BBC3	BCL2 binding component 3	"NM_014417, NM_001127240, NM_001127242, NM_001127241"	"NP_055232.1, NP_001120712.1, NP_001120714.1, NP_001120713.1"	ENSG00000105327	chr19:52416898 - 52423528	apoptosis;caspase activation;induction of apoptosis;mitochondrion;negative regulation of growth;protein binding;release of cytochrome c from mitochondria	Entrez Query:Oncogene
8537	BCAS1	breast carcinoma amplified sequence 1	NM_003657	NP_003648.2	ENSG00000064787	chr20:51994867 - 52108664	protein binding	Entrez Query:Oncogene
53335	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	"NM_022893, NM_138559, NM_018014"	"NP_075044.2, NP_612569.1, NP_060484.2"	ENSG00000119866	chr2:60541042 - 60633909	"cytoplasm;hemopoiesis;intracellular;metal ion binding;nucleic acid binding;nucleus;regulation of transcription, DNA-dependent;transcription;zinc ion binding"	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
596	BCL2	B-cell CLL/lymphoma 2	"NM_000633, NM_000657"	"NP_000624.2, NP_000648.2"	ENSG00000171791	chr18:58946837 - 59136879	anti-apoptosis;BH3 domain binding;cytoplasm;cytosol;defense response to virus;endoplasmic reticulum;humoral immune response;integral to membrane;membrane;mitochondrial outer membrane;mitochondrion;negative regulation of cellular pH reduction;negative regulation of mitochondrial depolarization;negative regulation of neuron apoptosis;neuron apoptosis;nuclear membrane;nucleus;pregnancy;protease binding;protein heterodimerization activity;protein homodimerization activity;regulation of mitochondrial membrane pe	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Stability, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
10018	BCL2L11	BCL2-like 11 (apoptosis facilitator)	"NM_138621, NM_207002, NM_006538"	"NP_619527.1, NP_996885.1, NP_006529.1"	ENSG00000153094	chr2:111597793 - 111638279	apoptosis;induction of apoptosis;membrane;membrane fraction;positive regulation of apoptosis;protein binding	"Stability, Entrez Query:Oncogene"
602	BCL3	B-cell CLL/lymphoma 3	NM_005178	NP_005169.2	ENSG00000069399	chr19:49943911 - 49954712	"cytoplasm;defense response to bacterium;defense response to protozoan;DNA damage response, signal transduction by p53 class mediator resulting in induction of apoptosis;extracellular matrix organization and biogenesis;follicular dendritic cell differentiation;germinal center formation;humoral immune response mediated by circulating immunoglobulin;I-kappaB kinase/NF-kappaB cascade;maintenance of protein localization in nucleus;marginal zone B cell differentiation;negative regulation of apoptosis;negative reg"	"TNF_alpha_NF_kB, Futreal et al 2004, Mitelman 2000, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
604	BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)	NM_001706	NP_001697.2	ENSG00000113916	chr3:188922939 - 188934175	actin cytoskeleton organization and biogenesis;B cell differentiation;cell morphogenesis;chromatin binding;DNA binding;erythrocyte development;germinal center formation;intracellular;metal ion binding;negative regulation of B cell apoptosis;negative regulation of cell differentiation;negative regulation of cell growth;negative regulation of cell proliferation;negative regulation of cell-matrix adhesion;negative regulation of isotype switching to IgE isotypes;negative regulation of mast cell cytokine product	"Futreal et al 2004, Mitelman 2000, Vogelstein and Kinzler 2004, Entrez Query:Oncogene, Missense mutation, Translocation"
613	BCR	breakpoint cluster region	"NM_004327, NM_021574"	"NP_004318.3, NP_067585.2"	ENSG00000186716	chr22:21853147 - 21987709	cellular_component;GTPase activator activity;guanyl-nucleotide exchange factor activity;intracellular;intracellular signaling cascade;kinase activity;protein amino acid phosphorylation;protein serine/threonine kinase activity;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity;signal transduction;transferase activity	"Futreal et al 2004, Mitelman 2000, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
282991	BLOC1S2	"biogenesis of lysosome-related organelles complex-1, subunit 2"	NM_173809	NP_001001342.1	ENSG00000196072	chr10:102025208 - 102036406	identical protein binding	Entrez Query:Oncogene
648	BMI1	BMI1 polycomb ring finger oncogene	NM_005180	NP_005171.4	ENSG00000168283	chr10:22645352 - 22658477	"chromatin modification;metal ion binding;nucleus;protein binding;regulation of transcription, DNA-dependent;segment specification;transcription;zinc ion binding"	"Tumor Suppressor, Entrez Query:Oncogene"
673	BRAF	v-raf murine sarcoma viral oncogene homolog B1	NM_004333	NP_004324.2	ENSG00000157764	chr7:140080865 - 140270972	anti-apoptosis;ATP binding;cytoplasm;diacylglycerol binding;intracellular signaling cascade;metal ion binding;nucleotide binding;organ morphogenesis;plasma membrane;protein amino acid phosphorylation;protein binding;protein serine/threonine kinase activity;receptor signaling protein activity;transferase activity;zinc ion binding	"Futreal et al 2004, Hahn and Weinberg 2002, Vogelstein and Kinzler 2004, Stability, Tyrosine Kinase, Entrez Query:Oncogene, Missense mutation"
672	BRCA1	"breast cancer 1, early onset"	"NM_007298, NM_007300, NM_007303, NM_007299, NM_007294, NM_007302, NM_007304, NM_007305"	"NP_009229.1, NP_009231.1, NP_009234.1, NP_009230.1, NP_009227.1, NP_009228.1, NP_009235.2, NP_009236.1"	ENSG00000012048	chr17:38451220 - 38529639	"androgen receptor binding;androgen receptor signaling pathway;BRCA1-BARD1 complex;cell cycle;cell cycle checkpoint;cellular_component;chromosome segregation;DNA binding;DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator;DNA damage response, signal transduction resulting in induction of apoptosis;DNA repair;enzyme binding;fatty acid biosynthetic process;gamma-tubulin ring complex;intracellular;metal ion binding;molecular_function;negative regulatio"	"Futreal et al 2004, Hahn and Weinberg 2002, Vogelstein and Kinzler 2004, Stability, Tumor Suppressor, Entrez Query:Oncogene, Frameshift mutation, Large deletion, Missense mutation, Nonsense mutation, Splicing mutation"
140707	BRI3BP	BRI3 binding protein	NM_080626	NP_542193.3	ENSG00000184992	chr12:124044289 - 124075929	integral to membrane;membrane	Entrez Query:Oncogene
56946	C11orf30	chromosome 11 open reading frame 30	NM_020193	NP_064578.2	ENSG00000158636	chr11:75835630 - 75938838	"chromatin modification;DNA repair;nucleus;regulation of transcription, DNA-dependent;transcription"	"Stability, Entrez Query:Oncogene"
718	C3	complement component 3	NM_000064	NP_000055.2	ENSG00000125730	chr19:6628892 - 6671600	"complement activation, alternative pathway;complement activation, classical pathway;endopeptidase inhibitor activity;extracellular region;G-protein coupled receptor protein signaling pathway;inflammatory response;positive regulation of phagocytosis;positive regulation of type IIa hypersensitivity;receptor binding;signal transduction"	Entrez Query:Oncogene
727	C5	complement component 5	NM_001735	NP_001726.2	ENSG00000106804	chr9:122754837 - 122852345	"activation of MAPK activity;chemokine activity;chemotaxis;complement activation;complement activation, alternative pathway;complement activation, classical pathway;cytolysis;endopeptidase inhibitor activity;extracellular region;extracellular space;G-protein coupled receptor protein signaling pathway;inflammatory response;membrane attack complex;receptor binding;response to stress"	Entrez Query:Oncogene
345930	C6orf91	-	NM_001077706	NP_001071174.1		chr6:139176104 - 139265457	chitin binding;chitin metabolic process;extracellular region;intracellular;regulation of Rho protein signal transduction;Rho guanyl-nucleotide exchange factor activity	Entrez Query:Oncogene
768	CA9	carbonic anhydrase IX	NM_001216	NP_001207.2	ENSG00000107159	chr9:35663956 - 35671022	carbonate dehydratase activity;integral to membrane;lyase activity;membrane;metal ion binding;morphogenesis of an epithelium;nucleus;one-carbon compound metabolic process;secretion;zinc ion binding	"Tumor Suppressor, Entrez Query:Oncogene"
57118	CAMK1D	calcium/calmodulin-dependent protein kinase ID	"NM_153498, NM_020397"	"NP_705718.1, NP_065130.1"	ENSG00000183049	chr10:12431823 - 12910892	ATP binding;calcium ion binding;calcium- and calmodulin-dependent protein kinase complex;calmodulin binding;nucleotide binding;nucleus;protein amino acid phosphorylation;protein serine/threonine kinase activity;transferase activity	"Protein Kinase, Entrez Query:Oncogene"
84433	CARD11	"caspase recruitment domain family, member 11"	NM_032415	NP_115791.3	ENSG00000198286	chr7:2912797 - 2964666		Entrez Query:Oncogene
113201	CASC4	cancer susceptibility candidate 4	"NM_177974, NM_138423"	"NP_816929.1, NP_612432.2"	ENSG00000166734	chr15:42368519 - 42492896		Entrez Query:Oncogene
841	CASP8	"caspase 8, apoptosis-related cysteine peptidase"	"NM_001228, NM_033358, NM_033355, NM_033356"	"NP_001219.2, NP_203522.1, NP_203519.1, NP_203520.1"	ENSG00000064012	chr2:201831199 - 201859562	apoptotic program;caspase activity;cysteine-type peptidase activity;cytoskeleton;identical protein binding;mitochondrion;positive regulation of I-kappaB kinase/NF-kappaB cascade;protein binding;proteolysis;regulation of apoptosis;signal transducer activity	"TNF_alpha_NF_kB, Stability, Tumor Suppressor, Entrez Query:Oncogene"
867	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	NM_005188	NP_005179.2	ENSG00000110395	chr11:118582337 - 118675701	calcium ion binding;cell surface receptor linked signal transduction;epidermal growth factor receptor signaling pathway;ligase activity;nucleus;plasma membrane;positive regulation of receptor mediated endocytosis;protein binding;protein ubiquitination;signal transducer activity;transcription factor activity;ubiquitin-protein ligase activity;zinc ion binding	"EGFR1, Kit Receptor, Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
868	CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	NM_170662	NP_733762.2	ENSG00000114423	chr3:106860503 - 107069111	calcium ion binding;cell surface receptor linked signal transduction;immune response;intracellular signaling cascade;ligase activity;negative regulation of T cell receptor signaling pathway;NLS-bearing substrate import into nucleus;nucleus;protein binding;signal transducer activity;T cell activation;ubiquitin cycle;zinc ion binding	"EGFR1, Kit Receptor, Entrez Query:Oncogene"
23624	CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	NM_012116	NP_036248.3	ENSG00000142273	chr19:49973028 - 49995540		"EGFR1, Entrez Query:Oncogene"
595	CCND1	cyclin D1	NM_053056	NP_444284.1	ENSG00000110092	chr11:69165262 - 69175231	cell cycle;cell division;cellular_component;cyclin-dependent protein kinase holoenzyme complex;cyclin-dependent protein kinase regulator activity;cytosol;fat cell differentiation;G1/S transition of mitotic cell cycle;intracellular;nucleus;protein amino acid phosphorylation;protein binding;protein kinase activity;re-entry into mitotic cell cycle;unfolded protein response	"Androgen Receptor, TGFBR, Futreal et al 2004, Hahn and Weinberg 2002, Mitelman 2000, Vogelstein and Kinzler 2004, Protein Kinase, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
894	CCND2	cyclin D2	NM_001759	NP_001750.1	ENSG00000118971	chr12:4253467 - 4279436	cell cycle;cell division;nucleus;protein binding;regulation of progression through cell cycle	"Futreal et al 2004, Hahn and Weinberg 2002, Mitelman 2000, Stability, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
896	CCND3	cyclin D3	NM_001760	NP_001751.1	ENSG00000112576	chr6:42011655 - 42017365	cell cycle;cell division;nucleus;protein binding;regulation of progression through cell cycle	"Futreal et al 2004, Hahn and Weinberg 2002, Mitelman 2000, Tumor Suppressor, Entrez Query:Oncogene, Translocation"
1236	CCR7	chemokine (C-C motif) receptor 7	NM_001838	NP_001829.1	ENSG00000126353	chr17:35964519 - 35975187	C-C chemokine receptor activity;chemotaxis;elevation of cytosolic calcium ion concentration;G-protein coupled receptor protein signaling pathway;inflammatory response;integral to plasma membrane;plasma membrane;receptor activity;rhodopsin-like receptor activity;signal transduction	Entrez Query:Oncogene
29126	CD274	CD274 molecule	NM_014143	NP_054862.1	ENSG00000120217	chr9:5446113 - 5457862	cell proliferation;cell surface receptor linked signal transduction;immune response;integral to membrane;membrane;receptor activity	Entrez Query:Oncogene
993	CDC25A	cell division cycle 25 homolog A (S. pombe)	"NM_201567, NM_001789"	"NP_963861.1, NP_001780.2"	ENSG00000164045	chr3:48175438 - 48204441	cell cycle;cell division;cell proliferation;cellular_component;hydrolase activity;intracellular;mitosis;protein amino acid dephosphorylation;protein binding;protein tyrosine phosphatase activity;regulation of cyclin-dependent protein kinase activity	"TGFBR, Phosphatase, Protein Kinase, Stability, Entrez Query:Oncogene"
998	CDC42	"cell division cycle 42 (GTP binding protein, 25kDa)"	"NM_044472, NM_001039802"	"NP_426359.1, NP_001782.1"	ENSG00000070831	chr1:22277558 - 22290597	actin cytoskeleton organization and biogenesis;cell cycle;cell division;cytoplasm;establishment and/or maintenance of cell polarity;filopodium;G1 phase;GTP binding;GTPase activity;intracellular;macrophage differentiation;membrane;negative regulation of protein complex assembly;nucleotide binding;plasma membrane;positive regulation of pseudopodium formation;protein binding;regulation of cell growth;regulation of progression through cell cycle;small GTPase mediated signal transduction	"EGFR1, Entrez Query:Oncogene"
988	CDC5L	CDC5 cell division cycle 5-like (S. pombe)	NM_001253	NP_001244.1	ENSG00000096401	chr6:44463538 - 44522426	"cell cycle;DNA binding;mRNA processing;nucleus;protein binding;regulation of transcription, DNA-dependent;RNA binding;RNA splicing;spliceosome"	Entrez Query:Oncogene
79577	CDC73	"cell division cycle 73, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"	NM_024529	NP_078805.3	ENSG00000134371	chr1:191357953 - 191486465	cell cycle;negative regulation of progression through cell cycle;nucleus;protein binding;transcription	"Vogelstein and Kinzler 2004, Tumor Suppressor, Entrez Query:Oncogene"
55038	CDCA4	cell division cycle associated 4	NM_145701	NP_663747.1	ENSG00000170779	chr14:104548585 - 104549311	nucleus	Entrez Query:Oncogene
1015	CDH17	"cadherin 17, LI cadherin (liver-intestine)"	NM_004063	NP_004054.3	ENSG00000079112	chr8:95209643 - 95276089	calcium ion binding;calcium-dependent cell-cell adhesion;cell adhesion;homophilic cell adhesion;integral to plasma membrane;membrane;membrane fraction;oligopeptide transport;protein binding;proton-dependent oligopeptide transporter activity;transport;transporter activity	Entrez Query:Oncogene
1029	CDKN2A	"cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)"	"NM_000077, NM_058197, NM_058195"	"NP_000068.1, NP_478104.2, NP_478102.1"	ENSG00000147889	chr9:21961001 - 21984453	"apoptosis;cell aging;cell cycle;cell cycle arrest;cell cycle checkpoint;cellular_component;cyclin-dependent protein kinase inhibitor activity;cytoplasm;DNA binding;epidermis development;negative regulation of cell proliferation;negative regulation of cyclin-dependent protein kinase activity;nucleolus;nucleoplasm;nucleus;protein binding;regulation of cyclin-dependent protein kinase activity;regulation of transcription, DNA-dependent;rRNA processing;transcription"	"Futreal et al 2004, Hahn and Weinberg 2002, Mitelman 2000, Vogelstein and Kinzler 2004, Protein Kinase, Stability, Tumor Suppressor, Entrez Query:Oncogene, Frameshift mutation, Large deletion, Missense mutation, Nonsense mutation, Splicing mutation"
1044	CDX1	caudal type homeobox transcription factor 1	NM_001804	NP_001795.2	ENSG00000113722	chr5:149526632 - 149543436	"nucleus;organ morphogenesis;pattern specification process;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity"	"Wnt, Entrez Query:Oncogene"
1045	CDX2	caudal type homeobox transcription factor 2	NM_001265	NP_001256.2	ENSG00000165556	chr13:27435251 - 27441143	"blastocyst development;blood vessel development;cell differentiation;condensed nuclear chromosome;nucleus;pattern specification process;placenta development;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription factor activity;transcription from RNA polymerase II promoter"	"Futreal et al 2004, Mitelman 2000, Entrez Query:Oncogene, Translocation"
1051	CEBPB	"CCAAT/enhancer binding protein (C/EBP), beta"	NM_005194	NP_005185.2	ENSG00000172216	chr20:48240977 - 48242015	"acute-phase response;anti-apoptosis;cytoplasm;embryonic placenta development;fat cell differentiation;immune response;induction of apoptosis;inflammatory response;neuron differentiation;nucleus;positive regulation of transcription;protein heterodimerization activity;protein homodimerization activity;regulation of interleukin-6 biosynthetic process;regulation of transcription, DNA-dependent;sequence-specific DNA binding;transcription;transcription factor activity;transcription from RNA polymerase II promoter"	"EGFR1, Entrez Query:Oncogene"
116986	CENTG1	"centaurin, gamma 1"	"NM_001122772, NM_014770"	"NP_001116244.1, NP_055585.1"	ENSG00000135439	chr12:56406601 - 56418296	GTP binding;GTPase activator activity;GTPase activity;intracellular;metal ion binding;nucleotide binding;nucleus;protein transport;regulation of GTPase activity;signal transduction;small GTPase mediated signal transduction;zinc ion binding	"Protein Kinase, Entrez Query:Oncogene"
9857	CEP350	centrosomal protein 350kDa	NM_014810	NP_055625.4	ENSG00000135837	chr1:178221939 - 178346919	nucleus	Entrez Query:Oncogene
55165	CEP55	centrosomal protein 55kDa	"NM_018131, NM_001127182"	"NP_060601.3, NP_001120654.1"	ENSG00000138180	chr10:95249798 - 95277900	cell cycle;cell division;mitosis	Entrez Query:Oncogene
9557	CHD1L	chromodomain helicase DNA binding protein 1-like	NM_004284	NP_004275.3	ENSG00000131778	chr1:145180977 - 145233814	ATP binding;ATP-dependent helicase activity;DNA binding;helicase activity	"Stability, Entrez Query:Oncogene"
1163	CKS1B	CDC28 protein kinase regulatory subunit 1B	NM_001826	NP_001817.1	ENSG00000173207	chr1:153213845 - 153217877	cell cycle;cell division;cell proliferation;cyclin-dependent protein kinase regulator activity;kinase activity;protein binding;regulation of cyclin-dependent protein kinase activity	"Tumor Suppressor, Entrez Query:Oncogene"
63967	CLSPN	claspin homolog (Xenopus laevis)	NM_022111	NP_071394.2	ENSG00000092853	chr1:35974683 - 36008058	biological_process;cell cycle;cellular_component;chromosome;DNA binding;DNA repair;nucleus;protein binding	"Stability, Tumor Suppressor, Entrez Query:Oncogene"
1398	CRK	v-crk sarcoma virus CT10 oncogene homolog (avian)	"NM_016823, NM_005206"	"NP_058431.2, NP_005197.3"	ENSG00000167193	chr17:1273556 - 1306161	actin cytoskeleton organization and biogenesis;cell motility;cytoplasm;intracellular signaling cascade;nucleus;protein binding;protein phosphorylated amino acid binding;regulation of transcription from RNA polymerase II promoter;SH2 domain binding;SH3/SH2 adaptor activity	"EGFR1, Kit Receptor, Stability, Tumor Suppressor, Entrez Query:Oncogene"
1399	CRKL	v-crk sarcoma virus CT10 oncogene homolog (avian)-like	NM_005207	NP_005198.1	ENSG00000099942	chr22:19602222 - 19634133	anterior/posterior pattern formation;blood vessel development;cell motility;heart development;intracellular signaling cascade;JNK cascade;organ morphogenesis;parathyroid gland development;pattern specification process;protein amino acid phosphorylation;protein binding;protein-tyrosine kinase activity;Ras protein signal transduction;SH3/SH2 adaptor activity;thymus development	"EGFR1, Kit Receptor, Protein Kinase, Entrez Query:Oncogene"
